rownames;Task;Who;Freq
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
4;Driving;Alternating;51
5;Finances;Alternating;13
5;Finances;Alternating;13
5;Finances;Alternating;13
5;Finances;Alternating;13
5;Finances;Alternating;13
5;Finances;Alternating;13
5;Finances;Alternating;13
5;Finances;Alternating;13
5;Finances;Alternating;13
5;Finances;Alternating;13
5;Finances;Alternating;13
5;Finances;Alternating;13
5;Finances;Alternating;13
6;Holidays;Alternating;1
7;Insurance;Alternating;1
8;Laundry;Alternating;14
8;Laundry;Alternating;14
8;Laundry;Alternating;14
8;Laundry;Alternating;14
8;Laundry;Alternating;14
8;Laundry;Alternating;14
8;Laundry;Alternating;14
8;Laundry;Alternating;14
8;Laundry;Alternating;14
8;Laundry;Alternating;14
8;Laundry;Alternating;14
8;Laundry;Alternating;14
8;Laundry;Alternating;14
8;Laundry;Alternating;14
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
9;Main_meal;Alternating;20
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
10;Official;Alternating;46
11;Repairs;Alternating;3
11;Repairs;Alternating;3
11;Repairs;Alternating;3
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
12;Shopping;Alternating;23
13;Tidying;Alternating;11
13;Tidying;Alternating;11
13;Tidying;Alternating;11
13;Tidying;Alternating;11
13;Tidying;Alternating;11
13;Tidying;Alternating;11
13;Tidying;Alternating;11
13;Tidying;Alternating;11
13;Tidying;Alternating;11
13;Tidying;Alternating;11
13;Tidying;Alternating;11
14;Breakfast;Husband;15
14;Breakfast;Husband;15
14;Breakfast;Husband;15
14;Breakfast;Husband;15
14;Breakfast;Husband;15
14;Breakfast;Husband;15
14;Breakfast;Husband;15
14;Breakfast;Husband;15
14;Breakfast;Husband;15
14;Breakfast;Husband;15
14;Breakfast;Husband;15
14;Breakfast;Husband;15
14;Breakfast;Husband;15
14;Breakfast;Husband;15
14;Breakfast;Husband;15
15;Dinner;Husband;7
15;Dinner;Husband;7
15;Dinner;Husband;7
15;Dinner;Husband;7
15;Dinner;Husband;7
15;Dinner;Husband;7
15;Dinner;Husband;7
16;Dishes;Husband;4
16;Dishes;Husband;4
16;Dishes;Husband;4
16;Dishes;Husband;4
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
17;Driving;Husband;75
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
18;Finances;Husband;21
19;Holidays;Husband;6
19;Holidays;Husband;6
19;Holidays;Husband;6
19;Holidays;Husband;6
19;Holidays;Husband;6
19;Holidays;Husband;6
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
20;Insurance;Husband;53
21;Laundry;Husband;2
21;Laundry;Husband;2
22;Main_meal;Husband;5
22;Main_meal;Husband;5
22;Main_meal;Husband;5
22;Main_meal;Husband;5
22;Main_meal;Husband;5
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
23;Official;Husband;23
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
24;Repairs;Husband;160
25;Shopping;Husband;9
25;Shopping;Husband;9
25;Shopping;Husband;9
25;Shopping;Husband;9
25;Shopping;Husband;9
25;Shopping;Husband;9
25;Shopping;Husband;9
25;Shopping;Husband;9
25;Shopping;Husband;9
26;Tidying;Husband;1
27;Breakfast;Jointly;7
27;Breakfast;Jointly;7
27;Breakfast;Jointly;7
27;Breakfast;Jointly;7
27;Breakfast;Jointly;7
27;Breakfast;Jointly;7
27;Breakfast;Jointly;7
28;Dinner;Jointly;13
28;Dinner;Jointly;13
28;Dinner;Jointly;13
28;Dinner;Jointly;13
28;Dinner;Jointly;13
28;Dinner;Jointly;13
28;Dinner;Jointly;13
28;Dinner;Jointly;13
28;Dinner;Jointly;13
28;Dinner;Jointly;13
28;Dinner;Jointly;13
28;Dinner;Jointly;13
28;Dinner;Jointly;13
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
29;Dishes;Jointly;53
30;Driving;Jointly;3
30;Driving;Jointly;3
30;Driving;Jointly;3
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
31;Finances;Jointly;66
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
32;Holidays;Jointly;153
